Ptid	Gene1	Gene2	Gene3	Gene4	Gene5
PT214	3.732594013	5.275730133	6.247999191	3.302194118	5.710449219
PT180	3.732594013	5.275730133	6.247999191	3.302194118	5.710449219
PT156	3.732594013	5.275730133	6.247999191	3.302194118	5.710449219
PT99	3.739948988	3.754569054	4.056372166	4.061769009	3.764590979
PT14	3.746304035	4.055959225	4.099730015	3.999509096	3.925363064
PT31	3.776247978	3.848381996	4.000699043	3.591892958	3.527384043
PT237	3.79359293	3.124380112	3.454998016	3.530930042	5.522951126
PT667	3.79440403	2.865231991	3.415261984	5.323708057	3.422698975
PT682	3.869424105	3.778748035	3.573263884	3.557909012	3.582554102
PT641	3.869424105	3.778748035	3.573263884	3.557909012	3.582554102
PT577	3.869424105	3.778748035	3.573263884	3.557909012	3.582554102
PT170	3.901320934	3.953159094	4.474885941	4.083910942	4.065759182
PT565	3.980073929	4.136799812	4.243350983	4.086810112	4.100016117
PT60	3.988070965	3.789050102	4.015107155	4.452673912	3.57554698
PT645	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT622	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT473	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT445	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT392	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT339	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT313	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT286	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT27	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT267	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT24	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT213	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT19	4.041110039	4.095253944	4.477490902	3.887480021	5.265775204
PT625	4.047244072	4.537942886	4.593926907	4.4401021	4.19613409
PT676	4.084899902	3.234791994	3.530361891	3.42000103	10.73036575
PT660	4.087403774	3.935094118	3.85867691	4.33987999	4.275857925
PT424	4.102947235	6.067052841	9.224993706	5.917671204	8.923901558
PT135	4.124774933	4.636133194	4.620820999	4.573162079	4.701240063
PT408	4.129714966	3.519828081	3.91287899	3.369854927	5.057236195
PT561	4.133477211	3.818145037	4.129666805	4.118374825	4.075446129
PT670	4.165681839	3.931376934	3.604862928	3.881288052	4.715643883
PT646	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT493	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT41	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT399	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT383	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT376	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT346	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT291	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT282	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT278	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT200	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT158	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT138	4.178187847	7.165614128	6.413208008	5.483060837	6.91629982
PT91	4.182291031	4.969974041	4.077874184	4.656052113	3.937182903
PT35	4.182291031	4.969974041	4.077874184	4.656052113	3.937182903
PT143	4.182291031	4.969974041	4.077874184	4.656052113	3.937182903
PT1	4.182291031	4.969974041	4.077874184	4.656052113	3.937182903
PT640	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT470	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT461	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT440	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT423	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT351	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT336	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT317	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT134	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT121	4.242612839	6.931241989	6.452507973	4.900396824	7.562521935
PT368	4.264195919	3.931380987	4.07455492	4.108133793	4.143023014
PT654	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT605	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT578	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT547	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT545	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT372	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT341	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT281	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT219	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT17	4.271264076	2.847189903	4.454244137	3.169007063	4.067011833
PT293	4.272781849	4.531288147	4.325697899	4.500648022	4.768393993
PT69	4.299386024	8.24950695	3.512254	4.753629208	2.939953089
PT275	4.299386024	8.24950695	3.512254	4.753629208	2.939953089
PT221	4.299386024	8.24950695	3.512254	4.753629208	2.939953089
PT146	4.299386024	8.24950695	3.512254	4.753629208	2.939953089
PT83	4.32094717	3.861076117	3.296086073	4.5844841	4.150344849
PT409	4.321201801	4.233413219	4.841781139	4.405344009	4.361332893
PT303	4.324716091	3.742105961	3.408385038	4.407888889	4.353127003
PT584	4.328693867	4.308934212	3.378355026	3.933841944	8.832135201
PT447	4.343861103	4.399419785	4.577995777	4.652799129	4.432478905
PT674	4.345860958	4.356883049	4.501904011	4.515824795	4.446231842
PT476	4.377781868	6.292998791	5.164886951	5.980860233	6.795244217
PT400	4.386428833	4.253518105	5.014472961	4.719851971	7.013494015
PT16	4.400929928	6.68859911	4.65845108	4.577906132	5.809552193
PT483	4.444803238	4.543591976	4.795569897	4.467871189	4.582722187
PT254	4.448237896	5.099562168	7.548247814	4.20630312	5.241064072
PT232	4.490173817	4.335678101	5.011483192	4.682863235	5.18146801
PT81	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT686	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT644	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT62	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT572	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT478	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT439	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT323	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT28	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT264	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT263	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT198	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT164	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT140	4.508862019	3.802721977	4.053273201	4.451900005	4.810459137
PT388	4.554959774	5.220768929	4.624492168	5.762060165	5.584896088
PT437	4.557250023	4.110448837	3.831818104	4.741200924	3.952853918
PT558	4.572168827	4.74408102	4.250778198	4.796811104	4.238871098
PT245	4.600886822	4.471253872	4.542121887	4.792448997	4.424267769
PT274	4.606295109	5.026823997	3.532031059	3.895744085	3.991669893
PT373	4.675476074	4.835632801	4.847931862	4.560103893	8.177324295
PT296	4.681218147	3.603279114	3.429231882	3.887480021	3.422698975
PT210	4.742784977	4.793438911	4.78499794	4.621992111	5.40726614
PT583	4.746560097	4.36807394	4.774815083	4.970159054	4.677124977
PT523	4.747612	4.197096825	3.983083963	4.170556068	7.475080013
PT546	4.845586777	5.02844286	4.783505917	4.806250095	4.687323093
PT97	4.916848183	5.17986393	4.132159233	3.967118025	4.331549168
PT597	4.925644875	5.58723402	7.003726006	4.951497078	5.732921124
PT375	4.929265022	3.991930008	4.343788147	5.211353779	4.094391823
PT255	4.964881897	4.982909203	5.327829838	5.013023853	5.308499813
PT611	4.965548038	4.437178135	3.982283115	7.092175961	5.121036053
PT316	4.982408047	5.613554955	5.086984158	5.498620987	8.30232811
PT427	4.994122028	5.568658829	5.95716095	5.825572014	4.78606987
PT401	5.015172005	5.433097839	5.383458138	5.304945946	4.823204041
PT433	5.019751072	5.185110092	5.253779888	4.884434223	5.265004158
PT39	5.021389961	4.249818802	4.511086941	4.6822052	5.78079319
PT380	5.040896893	4.945149899	5.348158836	5.415387154	8.457878
PT491	5.048480034	5.049611092	5.331592083	5.12519598	5.310618877
PT186	5.05643177	4.627894878	4.129666805	4.215164185	4.75398016
PT442	5.064350128	5.180637836	5.723879814	5.222919941	7.378094196
PT430	5.078927994	6.485650063	5.280097961	5.656569958	4.595153809
PT185	5.080174923	6.346608162	5.086052895	2.447632074	3.277743101
PT550	5.085347176	5.050240993	5.35179615	5.468512058	5.01967001
PT626	5.106012821	5.054475784	5.109836102	5.524287224	5.031311989
PT279	5.120238781	4.949976921	4.644728184	5.360788822	5.248305798
PT509	5.122264862	4.6038661	5.12536478	4.69256115	7.642774105
PT334	5.173241138	5.456478119	5.34938097	5.428866863	5.022093773
PT189	5.197487831	5.134015083	5.443236828	5.368391037	5.119203091
PT190	5.215572834	5.652593136	5.426799774	5.882453918	5.138401985
PT159	5.244443893	7.948873997	7.170041084	6.846560001	8.293117523
PT510	5.24941206	4.874528885	4.340137005	4.872312069	4.973297119
PT92	5.251958847	5.534985065	5.39958477	5.818952084	5.202691078
PT89	5.251958847	5.534985065	5.39958477	5.818952084	5.202691078
PT191	5.251958847	5.534985065	5.39958477	5.818952084	5.202691078
PT152	5.251958847	5.534985065	5.39958477	5.818952084	5.202691078
PT273	5.256409168	6.693889141	7.525444984	5.053442955	6.697442055
PT387	5.305045128	5.014830112	5.454140186	5.245862007	5.210640907
PT104	5.327964783	5.214734077	5.311663151	5.460969925	5.249519825
PT381	5.331016064	5.740180016	8.339152336	7.585755825	5.285988808
PT532	5.36102581	5.307377815	5.273880005	5.291844845	5.064832211
PT302	5.366425037	8.109548569	7.980102062	7.152132034	3.816560984
PT637	5.389597893	5.246756077	5.182384014	5.459088802	5.214903831
PT458	5.445487976	3.538747072	3.833899975	3.774775982	3.766314983
PT280	5.449678898	4.865231037	4.541172028	4.680037022	4.923490047
PT663	5.57459116	5.598139763	5.569279194	5.684161186	1.2356598
PT589	5.57459116	2.45787698	5.569279194	5.684161186	5.710388184
PT312	5.57459116	5.598139763	5.569279194	5.684161186	5.710388184
PT325	5.596473217	5.738097191	5.661437988	5.740644932	5.780578136
PT153	5.59649086	6.917806149	5.652050972	5.35174799	6.060970783
PT492	5.620439053	5.977694035	6.263731003	6.07504797	5.758590221
PT348	5.679883957	4.17098999	5.589838982	6.346567154	5.418385983
PT562	5.686097145	5.388185024	5.173060894	5.490808964	5.177481174
PT621	5.705842018	5.055267811	5.6684618	7.943871021	5.838696003
PT174	5.737689972	6.066894054	6.513896942	6.218781948	5.635107994
PT657	5.747369766	5.119794846	5.296364784	4.876593113	5.24993515
PT13	5.770410061	6.145605087	5.590794086	5.687392235	5.35967207
PT49	5.813704014	5.646840096	6.024119854	5.69268322	15.4789
PT454	5.817119122	6.366113186	6.842623234	5.440010071	5.898715019
PT178	5.831277847	4.764247894	5.211434841	5.598761082	4.812351227
PT345	5.838126183	5.558392048	5.814280987	5.8515172	5.926839828
PT675	5.84820509	6.798233986	5.406526089	7.827814102	6.084486008
PT21	5.879961014	6.086275101	5.919645786	5.918361187	5.702920914
PT333	5.88860321	5.941363811	6.087484837	6.177159786	5.737575054
PT685	5.942144871	5.057777882	6.332624912	7.203267097	4.749040127
PT329	5.961244106	6.149240017	6.079489231	6.048036098	5.965239048
PT406	5.977296829	4.847027779	5.268400192	4.955315113	5.113094807
PT655	5.97902298	7.762475967	8.239049911	7.289604187	4.862689018
PT355	5.989770889	7.361234188	6.062469006	7.529966831	6.041924
PT335	5.998219013	6.514520168	6.333167076	6.416313171	6.35123682
PT521	6.081652164	6.379943848	6.067094803	6.599082947	6.303039074
PT175	6.088494778	6.177093029	6.610796928	7.362304211	7.464187145
PT226	6.111855984	6.371041775	6.061645031	6.038557053	6.139027119
PT202	6.111855984	6.371041775	6.061645031	6.038557053	6.139027119
PT199	6.111855984	6.371041775	6.061645031	6.038557053	6.139027119
PT105	6.111855984	6.371041775	6.061645031	6.038557053	6.139027119
PT516	6.118154049	5.975096226	6.257332802	6.049734116	5.882019043
PT53	6.119327068	5.065308094	5.844466209	4.915113926	5.37194109
PT397	6.127855778	6.562726021	6.406343937	7.348856926	4.850870132
PT482	6.189601898	6.393163204	6.060564995	6.700316906	6.521700859
PT419	6.252884865	5.524377823	5.509788036	5.227758884	6.993524075
PT619	6.342270851	6.246907234	6.154480934	6.065015793	7.201554775
PT421	6.389433861	6.826641083	5.586727142	6.413657188	6.955184937
PT157	6.408308983	6.23268795	5.741226196	5.890536785	6.370614052
PT519	6.447822094	6.827408791	6.842621803	6.45480299	6.044545174
PT84	6.473128796	6.552235126	6.271489143	5.409152985	6.381474972
PT45	6.513319016	5.203509808	5.130692005	6.978521824	7.980587006
PT229	6.516539097	6.272108078	5.667312145	5.252055168	8.024445534
PT522	6.519989014	7.281663895	7.256237984	6.775868893	7.225282192
PT507	6.523441792	6.133061886	6.142167091	6.650817871	5.377017021
PT499	6.55967617	5.579903126	5.88348484	5.272994041	5.94785881
PT90	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT86	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT74	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT664	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT627	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT614	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT531	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT508	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT46	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT377	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT241	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT162	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT139	6.574985027	6.653920174	6.668928146	6.183598995	6.324216843
PT218	6.585989952	5.948237896	6.45037508	6.058906078	6.184596062
PT9	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT624	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT564	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT460	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT370	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT358	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT338	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT318	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT285	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT269	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT252	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT194	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT148	6.592672825	6.934557915	5.117819786	5.633612156	6.463499069
PT129	6.60930109	8.241859436	7.727737904	7.144186974	8.777600288
PT58	6.612887859	5.723038197	5.296163082	5.328667164	7.862351894
PT308	6.664012909	7.335684776	6.080450058	6.821737766	6.182716846
PT666	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT529	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT505	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT436	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT37	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT340	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT257	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT206	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT192	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT188	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT173	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT161	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT145	6.708025932	6.537435055	6.216125011	6.215376854	6.828450203
PT327	6.710523129	7.366437912	7.469822884	7.205977917	8.39033699
PT487	6.788715839	6.458034992	6.11022377	6.8291049	7.228722095
PT249	6.840743065	6.798872948	5.815501213	6.068304062	6.545545101
PT297	6.856561184	8.82490921	8.336211205	5.459060192	6.998355865
PT114	6.888901234	6.844042778	6.722754955	6.934555054	16.88795
PT449	6.901155949	6.413267136	6.296913147	6.805854797	6.693182945
PT628	6.910943985	6.755381107	6.775661945	6.896759987	6.477025986
PT631	6.920630932	6.151268005	6.093163013	5.595273018	8.258722305
PT243	6.925837994	5.454926014	6.160058975	6.135659218	5.50034523
PT364	6.930362225	7.079575062	6.499528885	6.511685848	7.418066025
PT596	6.939572811	6.434041977	6.242866993	6.250709057	5.920735836
PT386	6.940211773	6.412121773	4.936989784	6.258575916	6.042096138
PT428	6.941296101	5.602987766	5.861042976	5.94050312	5.798902988
PT103	6.964134216	8.207183838	8.978197098	7.218369007	7.527522087
PT389	6.982550144	6.396914005	7.453163147	6.872057915	6.722211838
PT580	7.012639046	6.655008793	6.542528152	6.824950218	6.238633156
PT414	7.019889832	6.412062168	6.401784897	8.703746796	7.013510227
PT446	7.059277058	8.481274605	7.930676937	8.504200935	7.498115063
PT638	7.065928936	7.467335224	6.922636032	8.295986176	7.099915981
PT295	7.083735943	5.021366119	4.811732769	4.920351028	7.678536892
PT112	7.123011112	6.980751991	7.022771835	6.781143188	6.587050915
PT593	7.134852886	6.658131123	7.777304173	7.916234016	6.465984821
PT124	7.228943825	7.845716	7.916560173	6.997288227	7.66865015
PT524	7.241250038	6.420022964	6.508788109	6.542677879	7.863185883
PT88	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT7	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT630	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT571	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT512	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT451	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT371	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT328	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT319	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT247	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT196	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT183	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT132	7.245634079	7.623198032	6.971864223	6.59952879	7.474907875
PT656	7.286859989	6.122223854	7.553510189	7.588110924	6.491429806
PT72	7.290533066	6.740880013	7.742444038	8.459838867	17.269
PT405	7.30960989	6.458741188	7.534204006	6.323186874	6.727807999
PT362	7.346464157	6.80960989	6.677504063	7.135043144	6.318282127
PT4	7.375750065	7.63710022	5.9817729	6.707547188	7.380980015
PT50	7.376642227	8.733785629	9.12935257	7.792082787	13.248745
PT455	7.449563026	8.568829536	8.300704956	7.43860817	8.032987595
PT618	7.461789131	7.195121765	7.073843002	7.731328011	6.985006809
PT623	7.499147892	7.363259792	6.988302231	7.139711857	7.512127876
PT541	7.528392792	6.881206036	6.095571995	6.603950977	6.641283989
PT684	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT681	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT636	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT595	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT420	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT418	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT374	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT270	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT25	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT223	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT201	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT165	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT11	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT107	7.57800293	10.33850574	8.383899689	8.217750549	9.422083855
PT551	7.642331123	8.12288475	6.418447018	7.455328941	6.899003029
PT490	7.705443859	7.167761803	6.271308899	7.989518166	7.009414196
PT354	7.730681896	7.560349941	7.232200146	7.321259022	7.229074001
PT407	7.739282131	7.867897987	7.493749142	7.517799854	7.659851074
PT648	7.753849983	10.69557285	3.964015007	6.695870876	5.366145134
PT504	7.758246899	7.772219181	7.32886982	6.403348923	6.052059174
